GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.map,MyMap,0,86,0,6,0,21,0,10,0,7
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.stringManagement,StringConcatenation,0,25,0,2,0,5,0,2,0,1
